time_s,tension_kN,opb_interlink_angle_deg,ipb_interlink_angle_deg,opb_interlink_01_deg,ipb_interlink_01_deg,opb_interlink_02_deg,ipb_interlink_02_deg,opb_interlink_03_deg,ipb_interlink_03_deg,opb_interlink_04_deg,ipb_interlink_04_deg,opb_interlink_05_deg,ipb_interlink_05_deg,opb_interlink_06_deg,ipb_interlink_06_deg,opb_interlink_07_deg,ipb_interlink_07_deg,opb_interlink_08_deg,ipb_interlink_08_deg,opb_interlink_09_deg,ipb_interlink_09_deg,opb_interlink_10_deg,ipb_interlink_10_deg,opb_interlink_11_deg,ipb_interlink_11_deg,opb_interlink_12_deg,ipb_interlink_12_deg,opb_interlink_13_deg,ipb_interlink_13_deg,opb_interlink_14_deg,ipb_interlink_14_deg,opb_interlink_15_deg,ipb_interlink_15_deg,opb_interlink_16_deg,ipb_interlink_16_deg,opb_interlink_17_deg,ipb_interlink_17_deg,opb_interlink_18_deg,ipb_interlink_18_deg,opb_interlink_19_deg,ipb_interlink_19_deg,fairlead_x_m,fairlead_y_m,fairlead_z_m,line_length_m,fairlead_angle_in_plane_deg,fairlead_angle_out_of_plane_deg
5.0,1182.8808463216412,-0.08677546767613735,-0.15852099600692807,-0.08677546767613735,-0.15852099600692807,-0.023533425332804083,-0.03964154161989126,-0.006879904169021638,-0.01136088209566255,-0.002052835683009335,-0.0033707108408504213,-0.0006161930387847803,-0.0010100284275046316,-0.00018528971779517892,-0.00030354272529646483,-5.575014320496741e-05,-9.130452085286329e-05,-1.6776581140713046e-05,-2.747356173463928e-05,-5.048483440434824e-06,-8.266804177262115e-06,-1.5192120988940935e-06,-2.487484220724764e-06,-4.5716806401898844e-07,-7.484848574825949e-07,-1.3757304730439476e-07,-2.252193501069183e-07,-4.1399091514119894e-08,-6.776857670262397e-08,-1.2457992549202125e-08,-2.0391577769065036e-08,-3.748893724977467e-09,-6.1357986705074905e-09,-1.1280647287451005e-09,-1.8461510267049892e-09,-3.3923298649618804e-10,-5.551324859455101e-10,-1.0132163217502305e-10,-1.657933081144429e-10,-2.7958386386466245e-11,-4.574543344586251e-11,41.804440403576265,1.8774488597797299,-14.391436797591066,817.156433139744,-1.5355009580004682,-0.9183217333693291
5.5,1177.0323296126871,-0.08528824435130357,-0.1206296614561649,-0.08528824435130357,-0.1206296614561649,-0.023231017986440537,-0.031548071477042555,-0.006812257186430104,-0.009156608467491181,-0.002038303215541418,-0.0027316563569769947,-0.0006134936817357395,-0.0008214350057649312,-0.00018497682753203189,-0.0002475994012174566,-5.580633873189564e-05,-7.468806344452531e-05,-1.6838849021986068e-05,-2.253521745931401e-05,-5.080907345578136e-06,-6.799426876678278e-06,-1.5330988133165453e-06,-2.0515535709072882e-06,-4.625929604569988e-07,-6.190039439679071e-07,-1.3958150917410678e-07,-1.8676864512580054e-07,-4.2116933381482895e-08,-5.635267058743645e-08,-1.2708239455010574e-08,-1.7002971737281145e-08,-3.834526954373108e-09,-5.1301837502055404e-09,-1.1569471594468449e-09,-1.5478053565273333e-09,-3.4885451228078347e-10,-4.66690441620844e-10,-1.0446866057989309e-10,-1.3975033002861684e-10,-2.8891643128683023e-11,-3.8647702649091834e-11,41.81780714917961,1.7937071943179057,-14.300300250492572,817.1639335720932,-1.2198306309169458,-0.9020715893819566
6.0,1170.3350748565751,-0.08304837043062765,-0.07669446493998018,-0.08304837043062765,-0.07669446493998018,-0.02274859527863822,-0.02116527056743051,-0.0066953353505951226,-0.006241535793519619,-0.002009816600454824,-0.0018746669800282908,-0.0006068172723872777,-0.0005661119366809188,-0.0001835329353271811,-0.00017123161509323133,-5.554264915303481e-05,-5.1821407171520246e-05,-1.6811283665295543e-05,-1.5685092063315013e-05,-5.088328748888981e-06,-4.74749966207143e-06,-1.5401018726917427e-06,-1.4369538252293825e-06,-4.6614790329281436e-07,-4.349313201267021e-07,-1.4109058026968633e-07,-1.3164323665526622e-07,-4.270436666760628e-08,-3.9845235798361246e-08,-1.2925469898565691e-08,-1.2060186958441751e-08,-3.912173220821611e-09,-3.6503067548384377e-09,-1.1840351547422201e-09,-1.1047892929216917e-09,-3.581256863007698e-10,-3.341595607257725e-10,-1.0756808626889584e-10,-1.0037034193624321e-10,-2.982562667734068e-11,-2.78300957316194e-11,41.843041989963446,1.6938250723582697,-14.184132144320708,817.1655536130497,-0.8180372276809178,-0.8784334255982493
6.5,1163.3217896233473,-0.08032936317769528,-0.031644823534565915,-0.08032936317769528,-0.031644823534565915,-0.022144029086436832,-0.009245439086665646,-0.006543388173287864,-0.0027759048366814737,-0.0019709699687667135,-0.0008401211747982152,-0.0005970563258845926,-0.0002548691996556063,-0.00018117150217136988,-7.737866983272567e-05,-5.5006943706491175e-05,-2.349844756764736e-05,-1.6703412803030158e-05,-7.13603683399226e-06,-5.072159630465452e-06,-2.1670802528058133e-06,-1.5402123877420727e-06,-6.581015388938434e-07,-4.677010132741046e-07,-1.9985306719541764e-07,-1.4202212536409878e-07,-6.069161964284709e-08,-4.312644745682763e-08,-1.8430903161936064e-08,-1.3095773084129948e-08,-5.597115715197508e-09,-3.976639386698526e-09,-1.6997285327928109e-09,-1.2074674068202753e-09,-5.161417337623327e-10,-3.6639866932446643e-10,-1.5663093142783772e-10,-1.1040121504757636e-10,-4.719834747527813e-11,-3.06941355261104e-11,-1.3123012099864507e-11,41.88311155165733,1.5856059128819244,-14.051627350757911,817.1564587023252,-0.3579029375630182,-0.8501559094913441
7.0,1156.5425280293143,-0.07751361281065802,0.011079417441290965,-0.07751361281065802,0.011079417441290965,-0.021504657794644246,0.003333001040068593,-0.006379452710745206,0.001011470907286147,-0.0019280477074689153,0.0003077651317121452,-0.0005859307320431589,9.372112914951482e-05,-0.0001783599232070843,2.854940761440086e-05,-5.432471605927392e-05,8.696744080316878e-06,-1.6548389782230172e-05,2.649209350336851e-06,-5.040968904270885e-06,8.070043360093549e-07,-1.5355794627942276e-06,2.458303260220779e-07,-4.677680682127075e-07,7.488503653263857e-08,-1.4249146314537834e-07,2.281154142402577e-08,-4.340573344807993e-08,6.948870172414863e-09,-1.3222242728545176e-08,2.1167693402110612e-09,-4.027733134049979e-09,6.448079937915968e-10,-1.2268451412137802e-09,1.964087280181975e-10,-3.7345054298323206e-10,5.978681906246049e-11,-1.1287114560250469e-10,1.806992928891804e-11,-3.1463208556938345e-11,5.037066035806268e-12,41.94022809885743,1.4772284142213519,-13.91295372543727,817.132206938851,0.12876890901451427,-0.8210248041704727
7.5,1150.5300538479091,-0.07507581368786052,0.055934326234755756,-0.07507581368786052,0.055934326234755756,-0.020945520824595533,0.01596425322545546,-0.006235247712727635,0.0047817925792555125,-0.001890093097053745,0.001452166788312311,-0.0005760374857550168,0.0004428251497470813,-0.00017584335806216004,0.00013520439654997993,-5.3708986980049584e-05,4.130031043266626e-05,-1.6406814316360672e-05,1.2616590152744448e-05,-5.0118903957710035e-06,3.8541682959650816e-06,-1.5310129593824904e-06,1.1773873189214172e-06,-4.676879371379141e-07,3.5967316201019804e-07,-1.4286750753630867e-07,1.0987444894733552e-07,-4.364261310376427e-08,3.356490060968737e-08,-1.333176929105535e-08,1.0253538967538375e-08,-4.072511337211529e-09,3.1322734948896698e-09,-1.2439695520078021e-09,9.567941203238841e-10,-3.7972300680845505e-10,2.920700257977516e-10,-1.1507977371188403e-10,8.851768810270544e-11,-3.215366846375473e-11,2.473266410131343e-11,42.015951109382286,1.3768111109760361,-13.779023304388005,817.0888119534447,0.6083699732075961,-0.7957295673865613
8.0,1145.7662918085289,-0.07354077376643105,0.10270655052854533,-0.07354077376643105,0.10270655052854533,-0.020599261919025218,0.02780381951253851,-0.006148405041037316,0.008225047060728666,-0.0018681229560548326,0.0024925319873892087,-0.0005706272055420309,0.0007607343868679156,-0.00017458160526446446,0.00023268061323308156,-5.344269143579423e-05,7.121819088067218e-05,-1.6361895009263535e-05,2.180320579292382e-05,-5.00932122055444e-06,6.674976954166018e-06,-1.5336425930299761e-06,2.043521386665966e-06,-4.6953658960254384e-07,6.256170896962203e-07,-1.4375227243611215e-07,1.91530533266719e-07,-4.4010871981372e-08,5.863641488792337e-08,-1.34742619176936e-08,1.795132698877623e-08,-4.125222868732092e-09,5.495701368611116e-09,-1.2628806766662613e-09,1.6823725254370033e-09,-3.8635214623552484e-10,5.146682703679048e-10,-1.1734211095363822e-10,1.5630850269700436e-10,-3.2846408182227555e-11,4.375256124507026e-11,42.11119131556956,1.2919816856011292,-13.660642875188474,817.0229311179328,1.0478141616930225,-0.7794635087350716
8.5,1142.6519751218198,-0.07342463063263692,0.14691975909939012,-0.07342463063263692,0.14691975909939012,-0.020598890881996457,0.037877229926572824,-0.006157223237608058,0.011081971833543558,-0.0018735083291241776,0.003351012903162057,-0.0005731032849047878,0.0010230861427276811,-0.00017559450816669075,0.00031326277764871384,-5.38311190543103e-05,9.60044957562393e-05,-1.6504870681146935e-05,2.9432918888805122e-05,-5.060469872920615e-06,9.023501844904084e-06,-1.5515635249174863e-06,2.766412187857302e-06,-4.757165700041817e-07,8.48122660177232e-07,-1.458569052098412e-07,2.6001622127199247e-07,-4.472040077954068e-08,7.971539364049182e-08,-1.3711473618317073e-08,2.4439015191021205e-08,-4.2039734771893785e-09,7.492428339557087e-09,-1.2888665600683426e-09,2.2968554662630037e-09,-3.948749643142588e-10,7.036367957731864e-10,-1.2010036003284538e-10,2.1399196799113518e-10,-3.3659157931737865e-11,5.996887398136735e-11,42.22609623462529,1.229473023369017,-13.567614786411584,816.9321836305108,1.4168116462523623,-0.7773135359803124
9.0,1141.4813964379198,-0.07517148316810923,0.18288205085036033,-0.07517148316810923,0.18288205085036033,-0.02105672846876094,0.04534879077298555,-0.006293938908543034,0.01315264175398349,-0.001915826751977334,0.003968829266439691,-0.000586337627756945,0.001211386963835554,-0.00017974462163463832,0.00037102200673007026,-5.513312067000911e-05,0.00011375537503356426,-1.6913309249085343e-05,3.489204449922241e-05,-5.188533249516825e-06,1.07026566083631e-05,-1.5916978093203025e-06,3.2828932817102897e-06,-4.882886537212477e-07,1.006982536116255e-06,-1.497933883853805e-07,3.0887809498291087e-07,-4.595244597235813e-08,9.474411812005007e-08,-1.4096924518353883e-08,2.9061441960273473e-08,-4.3245157852344466e-09,8.914139698782752e-09,-1.3265470510691847e-09,2.7340961705888806e-09,-4.066405007672246e-10,8.380137277559712e-10,-1.2374433768265238e-10,2.5498612485647674e-10,-3.4696080878103595e-11,7.148742669687162e-11,42.35984792826088,1.194766873205218,-13.507877011771116,816.8155476431755,1.689936183526479,-0.7935515792452982
9.5,1142.4238487754583,-0.07909634235159299,0.20494983696475705,-0.07909634235159299,0.20494983696475705,-0.022044254449826862,0.0496185483831794,-0.0065781626174991606,0.014308622702723482,-0.002000740225211331,0.004309362511486304,-0.0006119870009208604,0.0013141529393831286,-0.00018751775167283904,0.0004022591813882006,-5.7490912027366084e-05,0.0001232709893475514,-1.7628733886106634e-05,3.779270677196949e-05,-5.405589291654703e-06,1.1587051729723057e-05,-1.6575436317777717e-06,3.5525311429686694e-06,-5.082611241345732e-07,1.0891879841905304e-06,-1.558507203678442e-07,3.3393949588618647e-07,-4.77893047041722e-08,1.023841454046663e-07,-1.4653870988935416e-08,3.139043873307872e-08,-4.493361823277071e-09,9.624084863861746e-09,-1.377725089331717e-09,2.950486773771508e-09,-4.2214074764671115e-10,9.03923443040852e-10,-1.284055648087544e-10,2.749178659065382e-10,-3.598974664670543e-11,7.704607962885707e-11,42.510447092463195,1.1918039959715652,-13.486775302502107,816.6737417883171,1.8483530939500412,-0.8309711558760745
10.0,1145.5129226023018,-0.0853421209223249,0.20926780271477263,-0.0853421209223249,0.20926780271477263,-0.02357774761130994,0.050367173928971984,-0.007012316601776001,0.014490304953204303,-0.002128539958996953,0.00435677326977123,-0.0006500286497148174,0.0013266070754426277,-0.00019887509143877042,0.00040547653679355957,-6.088313777831787e-05,0.00012407634653565435,-1.8641771071904443e-05,3.7984428384451e-05,-5.707912590874737e-06,1.1628953189706237e-05,-1.7477022982321775e-06,3.5602102767882195e-06,-5.351279077084347e-07,1.0899602916715328e-06,-1.6385048893629897e-07,3.3369192793301094e-07,-5.0169278984994524e-08,1.0215995727411271e-07,-1.5361291638432163e-08,3.127630657830128e-08,-4.70343366444299e-09,9.575195253328588e-09,-1.4400406722221895e-09,2.9312461200423705e-09,-4.405958851257989e-10,8.967328549562327e-10,-1.3383031141903357e-10,2.7234770439499773e-10,-3.746502705723552e-11,7.623413123003799e-11,42.67457863471117,1.2227767754199723,-13.506549219223452,816.5094781445874,1.881101320780396,-0.8904110022934477
10.5,1150.6443316168102,-0.09385547995994684,0.1951124288533023,-0.09385547995994684,0.1951124288533023,-0.025613435336276382,0.04756222767693365,-0.007580480106361873,0.013698640980636306,-0.0022938483762624173,0.004113073535630654,-0.0006986824366470864,0.0012498053594384012,-0.00021323334867124813,0.0003811287493931793,-6.512006181918966e-05,0.00011635144708950292,-1.9891089303736924e-05,3.5535103799723866e-05,-6.075784061559932e-06,1.0853154989783709e-05,-1.8558637688907586e-06,3.3147778009522234e-06,-5.668783308327885e-07,1.0124016358380577e-06,-1.7315443395674627e-07,3.092083779817137e-07,-5.289046140783033e-08,9.443862282385336e-08,-1.6155516998854816e-08,2.8843489779286497e-08,-4.934712301213068e-09,8.809341316559533e-09,-1.5072169688647128e-09,2.690370240277247e-09,-4.6004421292438227e-10,8.210898223593197e-10,-1.3941166928727046e-10,2.4879759785714423e-10,-3.894958822693379e-11,6.950442539722947e-11,42.84764516296336,1.2880163455242868,-13.566091021488038,816.3274875453659,1.7858510493862052,-0.9705722624480543
11.0,1157.5824038873427,-0.10438482394092055,0.1651300046010439,-0.10438482394092055,0.1651300046010439,-0.028053638701234975,0.041450927049073515,-0.008251087796220915,0.011990934711282696,-0.0024866131320120705,0.003596564406658385,-0.0007547605169205498,0.0010900727473160566,-0.0002295852820568906,0.00033142082853687303,-6.98845995196325e-05,0.00010085889568866914,-2.1277225733463656e-05,3.070567627277374e-05,-6.478113032535478e-06,9.348117365636575e-06,-1.9723411774673186e-06,2.845965595860291e-06,-6.005035262860399e-07,8.664332992551134e-07,-1.8283068229037599e-07,2.6377924571688206e-07,-5.566504670420047e-08,8.03056476748363e-08,-1.6947898277400367e-08,2.444844990891443e-08,-5.15996397943442e-09,7.443104608157993e-09,-1.5709092411826108e-09,2.2658467353643673e-09,-4.779369513067286e-10,6.893219888348397e-10,-1.4437842844746058e-10,2.082220069575e-10,-4.022869301863455e-11,5.8014547370025265e-11,43.02401779914014,1.3859813305509692,-13.661006460693999,816.1342615942253,1.5690874707337783,-1.0681737483256855
11.5,1165.9748305300377,-0.11650287482805474,0.12436401169439515,-0.11650287482805474,0.12436401169439515,-0.03076268214421376,0.03254641036126509,-0.008982776225855839,0.009482690083038783,-0.0026941074716388715,0.002842240603258389,-0.0008143378589572476,0.0008589466064341521,-0.00024672206356844483,0.0002602204960709937,-7.480548660805734e-05,7.889566269374527e-05,-2.2686500574798063e-05,2.3926731476200118e-05,-6.880208012420192e-06,7.2562731535128876e-06,-2.0865828177209566e-06,2.2006139923720623e-06,-6.328046834066354e-07,6.67381428245541e-07,-1.9191271112129572e-07,2.0239713569725624e-07,-5.820198219717583e-08,6.138108856461138e-08,-1.765109262819966e-08,1.8615066540115905e-08,-5.353071574340208e-09,5.645367761181491e-09,-1.623337790304815e-09,1.7119626295553731e-09,-4.919670551169381e-10,5.188210622224957e-10,-1.480534910496622e-10,1.5613369021792025e-10,-4.111878242787967e-11,4.3362564363318385e-11,43.19749861331475,1.5133494460145307,-13.783973830283434,815.9375177293963,1.2457022801441016,-1.1784160117159084
